city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
"Corrales, New Mexico",Yes,35.2378197,-106.6066926,,,2022
"Tijeras, New Mexico",Yes,35.0795244,-106.3878905,,,2024
"Bosque Farms, New Mexico",Yes,34.8547756,-106.7053035,0.0,0.0,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2022
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,0.0,0.0,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2024
"Albuquerque, New Mexico",Yes,35.0843859,-106.650422,,,2024
"Rio Rancho, New Mexico",Yes,35.2327544,-106.6630437,0.0,0.0,2022
